model,loss,accuracy,precision,recall
bert_en_uncased_L-12_H-768_A-12,0.2922268211841583,0.8877005577087402,0.8717948794364929,0.9090909361839294
bert_en_uncased_L-24_H-1024_A-16,0.5058714747428894,0.7647058963775635,0.796407163143158,0.7112299203872681
bert_en_wwm_uncased_L-24_H-1024_A-16,0.2887513041496277,0.893048107624054,0.9248554706573486,0.855614960193634
bert_en_cased_L-12_H-768_A-12,0.3653455078601837,0.8877005577087402,0.8835979104042053,0.893048107624054
bert_en_cased_L-24_H-1024_A-16,0.45543357729911804,0.759358286857605,0.6932271122932434,0.9304812550544739
bert_en_wwm_cased_L-24_H-1024_A-16,0.40652379393577576,0.8128342032432556,0.7623318433761597,0.9090909361839294
bert_zh_L-12_H-768_A-12,0.24514178931713104,0.9197860956192017,0.9337016344070435,0.903743326663971
bert_multi_cased_L-12_H-768_A-12,0.2874833643436432,0.9171122908592224,0.8939393758773804,0.9465240836143494
